date,atlfed_as_of,meeting_date,target_rate_pct,target_bps,kalshi_bid,kalshi_ask,kalshi_mid_pct,atlfed_prob_pct,spread_pp,kalshi_oi,kalshi_vol_24h
2026-05-27,,2026-12-09,4.0,400,12.0,29.0,20.5,,,359.0,0.0
2026-05-27,,2026-12-09,3.75,375,17.0,60.0,38.5,,,355.0,1.0
2026-05-27,,2026-12-09,3.5,350,51.0,65.0,58.0,,,11769.32,22.0
2026-05-27,,2026-12-09,3.25,325,67.0,74.0,70.5,,,3370.95,19.01
2026-05-27,,2026-12-09,3.0,300,81.0,86.0,83.5,,,1631.61,1.0
2026-05-27,,2026-12-09,2.75,275,85.0,86.0,85.5,,,4241.85,4.0
2026-05-27,,2026-10-28,5.25,525,0.0,1.0,0.5,,,339.0,1.0
2026-05-27,,2026-10-28,5.0,500,0.0,20.0,10.0,,,24.0,0.0
2026-05-27,,2026-10-28,4.75,475,0.0,4.0,2.0,,,504.0,1.0
2026-05-27,,2026-10-28,4.5,450,4.0,5.0,4.5,,,136.0,0.0
2026-05-27,,2026-10-28,4.25,425,3.0,10.0,6.5,,,11.0,0.0
2026-05-27,,2026-10-28,4.0,400,7.0,23.0,15.0,,,398.01,0.01
2026-05-27,,2026-10-28,3.75,375,8.0,29.0,18.5,,,370.94,0.01
2026-05-27,,2026-10-28,3.5,350,74.0,88.0,81.0,,,2620.15,1.0
2026-05-27,,2026-10-28,3.25,325,78.0,84.0,81.0,,,1752.83,2.0
2026-05-27,,2026-10-28,3.0,300,82.0,97.0,89.5,,,925.0,2.0
2026-05-27,,2026-10-28,2.75,275,83.0,97.0,90.0,,,604.01,0.01
2026-05-27,,2026-09-16,5.25,525,0.0,3.0,1.5,,,159.0,0.0
2026-05-27,,2026-09-16,5.0,500,0.0,3.0,1.5,,,184.0,10.0
2026-05-27,,2026-09-16,4.75,475,2.0,4.0,3.0,1.46,1.54,318.0,20.0
2026-05-27,,2026-09-16,4.5,450,2.0,5.0,3.5,3.05,0.45,702.0,20.0
2026-05-27,,2026-09-16,4.25,425,5.0,6.0,5.5,7.64,-2.14,1573.0,23.0
2026-05-27,,2026-09-16,4.0,400,10.0,16.0,13.0,12.84,0.16,1792.03,9.0
2026-05-27,,2026-09-16,3.75,375,30.0,38.0,34.0,42.93,-8.93,1271.01,0.0
2026-05-27,,2026-09-16,3.5,350,78.0,91.0,84.5,92.48,-7.98,5276.93,14.0
2026-05-27,,2026-09-16,3.25,325,88.0,94.0,91.0,98.21,-7.21,1578.43,1.0
2026-05-27,,2026-09-16,3.0,300,90.0,97.0,93.5,98.64,-5.14,2356.0,1.0
2026-05-27,,2026-09-16,2.75,275,93.0,98.0,95.5,98.64,-3.14,2704.0,1.0
2026-05-27,,2026-06-17,5.25,525,0.0,1.0,0.5,,,766.0,1.0
2026-05-27,,2026-06-17,5.0,500,0.0,1.0,0.5,,,1962.0,0.0
2026-05-27,,2026-06-17,4.75,475,0.0,1.0,0.5,,,1674.03,1.0
2026-05-27,,2026-06-17,4.5,450,0.0,1.0,0.5,,,6145.95,1.0
2026-05-27,,2026-06-17,4.25,425,0.0,1.0,0.5,,,6400.73,25.0
2026-05-27,,2026-06-17,4.0,400,0.0,1.0,0.5,2.27,-1.77,79798.78,90.75
2026-05-27,,2026-06-17,3.75,375,2.0,3.0,2.5,6.68,-4.18,828339.52,94083.27
2026-05-27,,2026-06-17,3.5,350,96.0,97.0,96.5,98.68,-2.18,44751.09,1348.55
2026-05-27,,2026-06-17,3.25,325,99.0,100.0,99.5,98.68,0.82,75605.67,20000.0
2026-05-27,,2026-06-17,3.0,300,99.0,100.0,99.5,98.68,0.82,3344.94,0.0
2026-05-27,,2026-06-17,2.75,275,99.0,100.0,99.5,98.68,0.82,47782.17,0.0
2026-05-27,,2026-07-29,5.25,525,0.0,2.0,1.0,,,910.0,0.0
2026-05-27,,2026-07-29,5.0,500,0.0,2.0,1.0,,,87.0,6.0
2026-05-27,,2026-07-29,4.75,475,0.0,2.0,1.0,,,202.0,0.0
2026-05-27,,2026-07-29,4.5,450,1.0,3.0,2.0,,,1908.0,0.0
2026-05-27,,2026-07-29,4.25,425,1.0,2.0,1.5,,,216.21,0.0
2026-05-27,,2026-07-29,4.0,400,2.0,5.0,3.5,,,1324.0,0.0
2026-05-27,,2026-07-29,3.75,375,5.0,14.0,9.5,,,8831.75,115.0
2026-05-27,,2026-07-29,3.5,350,91.0,93.0,92.0,,,10849.51,8.0
2026-05-27,,2026-07-29,3.25,325,93.0,96.0,94.5,,,7422.31,1.0
2026-05-27,,2026-07-29,3.0,300,96.0,98.0,97.0,,,2937.0,0.0
2026-05-27,,2026-07-29,2.75,275,98.0,99.0,98.5,,,277.0,0.0
2026-05-28,2026-05-26,2027-04-28,4.25,425,28.999999999999996,74.0,51.5,,,2008.14,27.0
2026-05-28,2026-05-26,2027-04-28,4.0,400,35.0,71.0,53.0,,,1853.15,65.0
2026-05-28,2026-05-26,2027-04-28,3.75,375,56.00000000000001,68.0,62.000000000000014,,,1479.4,29.0
2026-05-28,2026-05-26,2027-04-28,3.5,350,52.0,78.0,65.0,,,2533.69,53.13
